"cell" "level1class"
"1" "1772071015_C02" "interneurons"
"2" "1772071017_G12" "interneurons"
"3" "1772071017_A05" "interneurons"
"4" "1772071014_B06" "interneurons"
"5" "1772067065_H06" "interneurons"
"6" "1772071017_E02" "interneurons"
"7" "1772067065_B07" "interneurons"
"8" "1772067060_B09" "interneurons"
"9" "1772071014_E04" "interneurons"
"10" "1772071015_D04" "interneurons"
"11" "1772071015_C11" "interneurons"
"12" "1772071017_D04" "interneurons"
"13" "1772071017_D06" "interneurons"
"14" "1772067082_D07" "interneurons"
"15" "1772071017_F09" "interneurons"
"16" "1772071017_A09" "interneurons"
"17" "1772067094_C05" "interneurons"
"18" "1772067059_B06" "interneurons"
"19" "1772067096_E05" "interneurons"
"20" "1772066089_C05" "interneurons"
"21" "1772067094_F04" "interneurons"
"22" "1772071045_A01" "interneurons"
"23" "1772071015_C08" "interneurons"
"24" "1772071045_D06" "interneurons"
"25" "1772071017_A03" "interneurons"
"26" "1772071017_F07" "interneurons"
"27" "1772071017_E06" "interneurons"
"28" "1772067066_C10" "interneurons"
"29" "1772071017_B05" "interneurons"
"30" "1772071014_E06" "interneurons"
"31" "1772067058_D11" "interneurons"
"32" "1772071014_B04" "interneurons"
"33" "1772067066_B09" "interneurons"
"34" "1772071017_E10" "interneurons"
"35" "1772071015_B08" "interneurons"
"36" "1772071014_C11" "interneurons"
"37" "1772067066_E10" "interneurons"
"38" "1772067065_F11" "interneurons"
"39" "1772071014_H11" "interneurons"
"40" "1772071017_B11" "interneurons"
"41" "1772071014_A07" "interneurons"
"42" "1772071017_B03" "interneurons"
"43" "1772071015_B04" "interneurons"
"44" "1772071014_D03" "interneurons"
"45" "1772067065_D06" "interneurons"
"46" "1772067066_H08" "interneurons"
"47" "1772067096_G11" "interneurons"
"48" "1772071017_G11" "interneurons"
"49" "1772067054_E12" "interneurons"
"50" "1772067083_B12" "interneurons"
"51" "1772067054_G01" "interneurons"
"52" "1772067096_A02" "interneurons"
"53" "1772067093_H05" "interneurons"
"54" "1772067083_B09" "interneurons"
"55" "1772071014_H12" "interneurons"
"56" "1772067082_H11" "interneurons"
"57" "1772067094_D06" "interneurons"
"58" "1772071015_F03" "interneurons"
"59" "1772071015_B11" "interneurons"
"60" "1772071014_G10" "interneurons"
"61" "1772067066_B07" "interneurons"
"62" "1772067065_G01" "interneurons"
"63" "1772071015_F07" "interneurons"
"64" "1772067065_E07" "interneurons"
"65" "1772071015_C10" "interneurons"
"66" "1772067063_E06" "interneurons"
"67" "1772067065_A11" "interneurons"
"68" "1772071015_G12" "interneurons"
"69" "1772067058_D07" "interneurons"
"70" "1772067065_D01" "interneurons"
"71" "1772071015_A02" "interneurons"
"72" "1772071014_F01" "interneurons"
"73" "1772071015_D06" "interneurons"
"74" "1772071017_B02" "interneurons"
"75" "1772071017_D07" "interneurons"
"76" "1772071017_A11" "interneurons"
"77" "1772071017_B01" "interneurons"
"78" "1772071017_C07" "interneurons"
"79" "1772071015_H11" "interneurons"
"80" "1772071014_A05" "interneurons"
"81" "1772071017_A10" "interneurons"
"82" "1772071017_C08" "interneurons"
"83" "1772071017_B09" "interneurons"
"84" "1772067066_A09" "interneurons"
"85" "1772067065_A12" "interneurons"
"86" "1772071015_G04" "interneurons"
"87" "1772067066_B02" "interneurons"
"88" "1772071015_E06" "interneurons"
"89" "1772067064_E04" "interneurons"
